type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),name,desc
T,40.11707,-88.20431,216.3,,13.4,0.3,0.018,18.27,,
T,40.11717,-88.20426,216.3,,20.9,0.1,0.03,11.89,,
T,40.11717,-88.20426,216.3,,20.9,,0.03,0,,
T,40.11723,-88.20444,216.3,,293.6,-0.3,0.047,16.73,,
T,40.11723,-88.20444,216.3,,293.6,,0.047,0,,
T,40.11735,-88.20437,216.3,,24,0.3,0.061,14.6,,
T,40.11745,-88.20432,216.3,,20.9,0.3,0.073,11.89,,
T,40.11752,-88.20429,216.4,,18.1,0.3,0.082,8.18,,
T,40.11753,-88.20428,216.4,,37.4,0.3,0.083,1.4,,
T,40.11755,-88.20428,216.4,,0,0.3,0.085,2.22,,
T,40.11757,-88.20428,216.4,,0,0.3,0.087,2.22,,
T,40.11761,-88.20428,216.4,,0,0.3,0.092,4.44,,
T,40.11774,-88.20423,216.5,,16.4,0.4,0.107,15.05,,
T,40.11781,-88.20419,216.5,,23.6,0.2,0.115,8.49,,
T,40.11801,-88.20408,216.5,,22.8,0,0.139,24.11,,
T,40.11821,-88.20397,216.5,,22.8,0.1,0.164,24.11,,
T,40.11886,-88.20362,216.8,,22.4,0.4,0.242,78.1,,
T,40.11935,-88.20336,214.6,,22.1,-3.7,0.3,58.75,,
T,40.11971,-88.20316,217.7,,23,7.1,0.344,43.46,,
T,40.12014,-88.20293,218.4,,22.2,1.4,0.396,51.61,,
T,40.12037,-88.20281,218.5,,21.8,0.3,0.423,27.51,,
T,40.12139,-88.20225,220,,22.8,1.2,0.546,122.91,,
T,40.12154,-88.20217,220.1,,22.2,0.5,0.564,18,,
T,40.12184,-88.20202,219.8,,20.9,-0.7,0.6,35.68,,
T,40.122,-88.20194,219.9,,20.9,0,0.619,19.03,,
T,40.12233,-88.20179,220,,19.2,0.3,0.657,38.81,,
T,40.12264,-88.20165,220.1,,19.1,0.2,0.694,36.43,,
T,40.12355,-88.20124,220.6,,19,0.5,0.801,106.92,,
T,40.12367,-88.20119,220.7,,17.7,1,0.815,13.99,,
